wkt_geom,id,Yandex add,Longitude,Latitude,ЧН_Расчет
Point (6228185.02468627505004406 7969147.03942038305103779),6692743,"Россия, Пермский край, Краснокамский городской округ, село Стряпунята, Молодёжная улица, 1",55.948738,58.181238,12.56875
Point (6228253.04089515004307032 7969333.97154728230088949),9208974,"Россия, Пермский край, Краснокамский городской округ, село Стряпунята, Молодёжная улица, 2",55.949349,58.182125,18.175
Point (6228121.01597906928509474 7969196.98587759304791689),8822230,"Россия, Пермский край, Краснокамский городской округ, село Стряпунята, Молодёжная улица, 3",55.948163,58.181475,12.69375
Point (6228178.011558354832232 7969305.94196721725165844),8822224,"Россия, Пермский край, Краснокамский городской округ, село Стряпунята, Молодёжная улица, 4",55.948675,58.181992,18.23125
Point (6228284.98958900757133961 7969184.97340799309313297),8822239,"Россия, Пермский край, Краснокамский городской округ, село Стряпунята, Молодёжная улица, 5",55.949636,58.181418,12.9
Point (6228127.02723157219588757 7969278.96623015496879816),8822228,"Россия, Пермский край, Краснокамский городской округ, село Стряпунята, Молодёжная улица, 6",55.948217,58.181864,18.0625
Point (6228055.00352102890610695 7969246.08968242909759283),6692744,"Россия, Пермский край, Краснокамский городской округ, село Стряпунята, Молодёжная улица, 8",55.94757,58.181708,18.675
Point (6228039.97538977116346359 7969312.89666523411870003),8822229,"Россия, Пермский край, Краснокамский городской округ, село Стряпунята, Молодёжная улица, 10",55.947435,58.182025,18.94375
Point (6228138.04786116071045399 7968630.10268120467662811),8822243,"Россия, Пермский край, Краснокамский городской округ, село Стряпунята, Советская улица, 3",55.948316,58.178785,26.964285714285715
Point (6228164.98717793170362711 7968987.08655959647148848),8822221,"Россия, Пермский край, Краснокамский городской округ, село Стряпунята, Транспортная улица, 2",55.948558,58.180479,48.811764705882354
Point (6227977.97043340001255274 7969425.015721520408988),8472037,"Россия, Пермский край, Краснокамский городской округ, село Стряпунята, улица Энтузиастов, 1",55.946878,58.182557,40.00588235294118
Point (6227954.03674287907779217 7969743.04679498169571161),8822216,"Россия, Пермский край, Краснокамский городской округ, село Стряпунята, улица Энтузиастов, 2",55.946663,58.184066,55.05294117647059
Point (6227910.95609994232654572 7969567.9067341573536396),9233085,"Россия, Пермский край, Краснокамский городской округ, село Стряпунята, улица Энтузиастов, 3",55.946276,58.183235,39.59411764705882
