LAT,LON,HOUSE_ID,ADDRESS,HOUSE_TYPE,LEVELS,LIFTS,RMC,RMC_NLIVE,INHAB,AREA,AREA_LIVE,AREA_NLIVE,AREA_GEN,AREA_LAND,AREA_PARK,CADNO,ENRG_CLS,BLAG_PLAY,BLAG_SPORT,BLAG_OTHER,OTHER,COLD_WATER,HOT_WATER,FUNDAMENT,PEREKRYT,MAT_NES,INOE_OBOR,ELECT_TYPE,ELECT_VVOD,TEPLO_TYPE,GORVODA_TY,HOLVODA_TY,VOTV_TYPE,VOTV_YAM,GAZ_TYPE,VSTK_TYPE
57.609548,61.731948,7649774,"обл. Свердловская, р-н. Алапаевский, с. Арамашево, ул. Пушкарева, д. 12",Не заполнено,2.0,,,,36.33458646616541,966.5,966.5,,,,,,не присвоен,,,,,,,,,,,центральная,,центральная,центральная,центральная,автономная,,центральная,
57.610006,61.729576,8943949,"обл. Свердловская, р-н. Алапаевский, с. Арамашево, ул. Пушкарева, д. 16",Многоквартирный дом,2.0,,8.0,,24.0,602.7,529.7,73.0,0.0,1114.1,,"не,межеван",не присвоен,,,,,Установлен,"Отсутствует, установка не требуется",ленточный,Смешанные,Кирпич,,центральная,,центральная,Отсутствует,центральная,автономная,,Отсутствует,Наружные водостоки
57.611134,61.727699,6705062,"обл. Свердловская, р-н. Алапаевский, с. Арамашево, ул. Пушкарева, д. 18",Многоквартирный дом,2.0,,,,32.0,678.8,630.2,,,,,66:01:5301001:611,не присвоен,,,,,,,ленточный,,,,центральная,,центральная,Не заполнено,центральная,автономная,,Не заполнено,Не заполнено
57.611896,61.727402,6705064,"обл. Свердловская, р-н. Алапаевский, с. Арамашево, ул. Пушкарева, д. 19",Многоквартирный дом,2.0,,,,46.0,781.9,781.9,,,,,66:01:5301001:420,не присвоен,,,,,,,,,,,центральная,,центральная,центральная,центральная,автономная,,центральная,Не заполнено
57.609977,61.731876,7649820,"обл. Свердловская, р-н. Алапаевский, с. Арамашево, ул. Пушкарева, д. 20",Не заполнено,2.0,,,,44.82330827067669,1192.3,1192.3,,,,,,не присвоен,,,,,,,,,,,центральная,,центральная,центральная,центральная,автономная,,центральная,
58.230519,62.433667,9378603,"обл. Свердловская, р-н. Алапаевский, п. Березовский, ул. Ленина, д. 3",Жилой дом блокированной застройки,1.0,,,,1.0,80.0,80.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
58.230519,62.433667,9083317,"обл. Свердловская, р-н. Алапаевский, п. Березовский, ул. Ленина, д. 5",Жилой дом блокированной застройки,1.0,,,,3.0,80.0,80.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
58.228771,62.437476,9378604,"обл. Свердловская, р-н. Алапаевский, п. Березовский, ул. Мира, д. 2",Жилой дом блокированной застройки,1.0,,,,1.0,80.0,80.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
58.228771,62.437476,9310043,"обл. Свердловская, р-н. Алапаевский, п. Березовский, ул. Мира, д. 15",Многоквартирный дом,3.0,,,,40.409774436090224,1074.9,1074.9,,,,,,Не заполнено,,,,,,,,,,,Не заполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,,Не заполнено,Не заполнено
58.231671,62.434071,9310019,"обл. Свердловская, р-н. Алапаевский, п. Березовский, ул. Почтовая, д. 8",Жилой дом блокированной застройки,1.0,,,,6.0,129.3,129.3,0.0,0.0,,,,Не заполнено,,,,,,,,,Деревянные,,Не заполнено,,Не заполнено,Не заполнено,Не заполнено,Не заполнено,,Не заполнено,Не заполнено
58.228159,62.441294,9376871,"обл. Свердловская, р-н. Алапаевский, п. Березовский, ул. Чапаева, д. 2",Жилой дом блокированной застройки,1.0,,,,1.0,80.0,80.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
57.987604,62.165753,9349685,"обл. Свердловская, р-н. Алапаевский, д. Бобровка, ул. Клубная, д. 1",Жилой дом (индивидуально-определенное здание),1.0,,,,1.0,40.0,40.0,,,,,,,,,,,,,,Деревянные,Деревянные,,,,,,,,,,
57.990939,62.171413,9377058,"обл. Свердловская, р-н. Алапаевский, д. Бобровка, ул. Ленина, д. 4",Жилой дом блокированной застройки,1.0,,,,7.0,74.0,74.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
57.991674,62.172266,9083073,"обл. Свердловская, р-н. Алапаевский, д. Бобровка, ул. Ленина, д. 27",Жилой дом (индивидуально-определенное здание),1.0,,,,3.0,45.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,
57.988487,62.167954,7811352,"обл. Свердловская, р-н. Алапаевский, д. Бобровка, ул. Молодежная, д. 2",Многоквартирный дом,1.0,,,,3.0,106.0,87.9,0.0,18.1,,,,Не заполнено,,,,,,,,,,,,,,,,,,,
57.988487,62.167954,9377060,"обл. Свердловская, р-н. Алапаевский, д. Бобровка, ул. Молодежная, д. 3",Жилой дом блокированной застройки,1.0,,,,4.0,76.0,76.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
57.988487,62.167954,9080612,"обл. Свердловская, р-н. Алапаевский, д. Бобровка, ул. Молодежная, д. 5",Многоквартирный дом,1.0,,,,3.0,104.0,80.7,0.0,23.3,,,,Не заполнено,,,,,,,,,,,,,,,,,,,
57.988487,62.167954,9377022,"обл. Свердловская, р-н. Алапаевский, д. Бобровка, ул. Молодежная, стр. 7",Жилой дом блокированной застройки,1.0,,,,4.0,74.0,74.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
57.988487,62.167954,9377017,"обл. Свердловская, р-н. Алапаевский, д. Бобровка, ул. Молодежная, стр. 9",Жилой дом блокированной застройки,1.0,,,,1.0,77.0,77.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
57.98873,62.167882,7811357,"обл. Свердловская, р-н. Алапаевский, д. Бобровка, ул. Молодежная, д. 11",Не заполнено,,,,,9.88,,262.80800000000005,,,,,,,,,,,,,,,,,,,,,,,,,
57.988487,62.167954,7811361,"обл. Свердловская, р-н. Алапаевский, д. Бобровка, ул. Молодежная, д. 13",Жилой дом блокированной застройки,1.0,,,,7.0,72.0,72.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
57.988487,62.167954,9376893,"обл. Свердловская, р-н. Алапаевский, д. Бобровка, ул. Молодежная, д. 15",Жилой дом блокированной застройки,1.0,,,,4.0,77.4,77.4,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
57.990934,62.162259,7811381,"обл. Свердловская, р-н. Алапаевский, д. Бобровка, ул. Новая, д. 2",Не заполнено,,,,,9.88,,262.80800000000005,,,,,,,,,,,,,,,,,,,,,,,,,
57.990934,62.162259,7811386,"обл. Свердловская, р-н. Алапаевский, д. Бобровка, ул. Новая, д. 4",Не заполнено,,,,,9.88,,262.80800000000005,,,,,,,,,,,,,,,,,,,,,,,,,
57.9906,62.161756,7811394,"обл. Свердловская, р-н. Алапаевский, д. Бобровка, ул. Новая, д. 8",Не заполнено,,,,,9.88,,262.80800000000005,,,,,,,,,,,,,,,,,,,,,,,,,
57.990934,62.162259,7811368,"обл. Свердловская, р-н. Алапаевский, д. Бобровка, ул. Новая, д. 10",Не заполнено,,,,,9.88,,262.80800000000005,,,,,,,,,,,,,,,,,,,,,,,,,
57.990934,62.162259,7811371,"обл. Свердловская, р-н. Алапаевский, д. Бобровка, ул. Новая, д. 12",Не заполнено,,,,,9.88,,262.80800000000005,,,,,,,,,,,,,,,,,,,,,,,,,
57.990934,62.162259,7811375,"обл. Свердловская, р-н. Алапаевский, д. Бобровка, ул. Новая, д. 14",Не заполнено,,,,,9.88,,262.80800000000005,,,,,,,,,,,,,,,,,,,,,,,,,
57.990934,62.162259,7811377,"обл. Свердловская, р-н. Алапаевский, д. Бобровка, ул. Новая, д. 16",Не заполнено,,,,,9.88,,262.80800000000005,,,,,,,,,,,,,,,,,,,,,,,,,
58.135903,61.718374,9376908,"обл. Свердловская, р-н. Алапаевский, п. Бубчиково, ул. 1 Мая, д. 46",Жилой дом блокированной застройки,1.0,,,,1.0,75.2,75.2,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
58.139376,61.71841,9378704,"обл. Свердловская, р-н. Алапаевский, п. Бубчиково, ул. 1 Мая, д. 49",Жилой дом блокированной застройки,1.0,,,,3.0,98.0,98.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
58.144781,61.72133,9376860,"обл. Свердловская, р-н. Алапаевский, п. Бубчиково, ул. Гагарина, д. 23",Жилой дом блокированной застройки,1.0,,,,4.0,73.5,73.5,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,
